题目	选项1	选项2	选项3	选项4	选项5	选项6	答案
第一次国共合作的政治基础是（  ）。	A.新三民主义	B.新民主主义	C.社会主义	D.三民主义
学生有下列行为之一，视其情节轻重，给予记过以上处分：	A.组织、成立、加入非法社会团体或组织，从事非法活动。	B.泄漏国家秘密，造成后果。	C.以各种形式散布、传播反动言论、虚假信息或有害信息，制造混乱，造成不良 影响及后果。	D.违反宪法，反对四项基本原则，组织、参加未经批准的游行、示威活动；扰乱 社会秩序或破坏学校的管理秩序，破坏安定团结的。
虽未动手打人，但用言语侮辱或以其它方式触犯他人，或以“劝架”“帮忙”为名偏袒一方，引起事端或激化矛盾，造成打架后果者，给予（   ）以上处分。参与斗殴、未造成人员伤害者，视情节轻重给予（   ）以上处分；斗殴致人  轻伤，所有参与斗殴者一律给予（   ）以上处分。	A.严重警告	B.记过	C.留校察看	D.开除学籍	E.警告
代写论文、买卖论文的，给予（   ）处分。	A.严重警告	B.留校察看	C.开除学籍	D.警告
在校内组织、参与宗教活动，经告诫不改的，视情节轻重，给予（   ）以上处分。	A.严重警告	B.留校察看	C.开除学籍	D.警告
参与走私、贩私等非法活动者，视其情节轻重，给予（   ）以上处分。	A.严重警告	B.留校察看	C.开除学籍	D.警告
挑起事端或动手打人者，视情节轻重给予（  ）以上处分。	A.严重警告	B.留校察看	C.开除学籍	D.警告
除开除学籍处分外，给予学生处分 （   ）个月期限。	A.6	B.12	C.24	D.3
考试开始信号发出前答题或者考试结束信号发出后继续答题的，给予（   ）处分。	A.严重警告	B.记过	C.留校察看	D.警告
故意损坏公物，不思悔改者，给予（   ）以上处分；损坏文物或消防、抢险救灾设备，或损坏其它财物造成严重后果和恶劣影响的，给予（   ）以上处分。	A.严重警告	B.记过	C.留校察看	D.开除学籍	E.警告
无故晚归者，三次以内给予通报批评，屡教不改者给予（   ）以上处分；未经请假彻夜不归，初  犯者给予警告处分，屡教不改者给予（   ）以上处分；住宿生未经批准，私自在校外租房住，给予（   ）处分。	A.严重警告	B.记过	C.留校察看	D.开除学籍	E.警告
学生违反法律、法规，构成刑事犯罪，免于刑事处罚的，给予（   ）以上处分；被处以刑事处罚者，给予（   ）处分。	A.记过	B.留校察看	C.开除学籍	D.警告
中华人民共和国国务院设立（    ），负责领导全国学位授予工作。	A.学位评定委员会	B.学位委员会	C.学位和学术道德委员会	D.学术委员会
研究生赴境外大学课程学习，其申请认定的课程学分一般不超过研究生专业培养方案规定的总学分的 __  。	A.二分之一	B.三分之二	C.四分之三	D.三分之一
论文答辩委员会根据答辩的情况，就是否授予硕士学位作出决议。决议以不记名的投票方式，经全体成员（   ）通过，方得通过。	A.三分之一	B.三分之二	C.三分之二以上	D.二分之一
下列关于答辩说法正确的是：（    ）。	A.答辩工作应在研究生提交论文送审后3个月内完成	B.答辩委员会一般应有校外有关学科或行业的专家参加	C.学位申请人需将答辩信息进行公示	D.硕士学位论文答辩委员会由3-5人组成，名单由校学位委员会授权各学院学位评定委员会进行审批
下列关于硕士研究生学位论文开题报告表述正确的是：（    ）。	A.2、5年和3年学制的应在第三学期到第四学期的第十周前完成	B.开题报告需在网上公告	C.开题报告以正规答辩的方式进行	D.2年学制的应在第二学期末到第三学期的第八周前完成
1960年至1981年，卢嘉锡先生担任福州大学副校长，是福州大学的创办人之一；此后，他终生担任福州大学的（）。	A.副校长	B.名誉副校长	C.校长	D.名誉校长
